date,count
1/20/18,85
1/4/16,16
7/19/17,140
7/19/16,89
1/4/18,112
3/28/17,165
3/28/16,9
10/3/16,17
1/20/16,13
1/17/18,73
1/17/17,373
1/17/16,15
1/27/17,21
10/2/17,176
10/2/16,22
2/2/17,14
2/2/16,9
5/10/17,87
11/6/16,7
11/6/17,55
8/22/16,33
8/22/17,173
9/1/17,141
8/26/16,27
1/25/18,47
1/25/16,5
1/25/17,69
10/31/16,21
10/31/17,192
7/18/16,26
7/18/17,383
1/12/18,102
1/20/17,37
9/20/17,259
9/20/16,6
1/21/16,6
1/21/17,121
2/13/16,23
1/12/17,54
5/12/17,184
1/5/18,112
6/29/17,244
6/29/16,125
1/5/16,5
5/13/17,189
7/23/16,1
7/23/17,73
4/17/17,88
6/30/17,223
6/30/16,23
3/25/16,28
3/25/17,43
1/16/16,83
2/17/17,49
1/16/18,82
9/22/17,133
9/22/16,61
1/23/17,85
5/18/17,142
5/9/17,54
6/21/17,78
9/21/17,276
3/26/17,99
3/26/16,48
1/22/17,40
1/22/16,17
10/30/17,79
10/30/16,3
2/16/17,58
1/22/18,162
2/16/16,17
2/18/17,7
2/18/16,27
6/26/16,23
6/26/17,220
3/24/17,38
3/24/16,39
1/19/18,115
3/19/17,102
3/19/16,34
4/12/17,61
12/13/16,19
12/13/17,63
11/21/16,23
11/21/17,70
12/27/17,1
5/14/17,173
6/28/16,115
6/28/17,202
3/22/17,201
3/22/16,80
2/15/16,42
1/14/17,10
12/1/16,42
12/1/17,39
3/29/16,64
3/29/17,126
1/14/18,2
11/23/16,56
12/21/17,159
10/3/17,176
8/25/17,206
12/10/17,145
11/7/17,88
9/7/17,403
3/27/16,14
3/27/17,133
3/18/16,28
3/18/17,16
12/20/17,149
1/18/18,134
6/11/17,126
3/23/16,71
3/23/17,51
2/19/16,9
1/18/17,3
4/18/17,551
12/12/16,42
9/19/17,214
8/15/17,415
9/28/17,216
9/28/16,1
9/23/16,51
9/23/17,68
12/11/16,66
8/25/16,5
10/13/16,6
10/13/17,82
11/30/16,1
11/30/17,136
9/18/16,6
9/18/17,260
9/2/16,4
2/25/16,78
2/25/17,18
12/30/17,1
5/8/17,24
5/21/17,47
12/23/17,1
