date,count
1/20/18,96
1/4/16,15
7/19/17,137
7/19/16,64
7/19/15,2
1/20/15,1
3/28/16,16
3/28/15,2
9/16/15,73
1/17/18,125
1/17/17,367
1/17/16,9
1/27/15,3
1/27/16,3
1/27/17,28
2/2/15,2
10/2/16,18
10/2/15,30
2/2/16,12
11/6/14,1
11/6/15,29
11/6/16,6
11/6/17,83
8/22/16,40
8/22/17,238
9/1/17,245
8/22/15,103
8/26/16,22
8/26/17,2
8/26/15,265
1/4/18,163
1/25/18,104
3/28/17,151
2/15/17,35
1/25/16,11
1/25/17,72
1/25/15,13
10/31/16,23
10/31/17,230
7/18/16,36
10/31/15,25
9/20/15,66
10/3/16,16
9/20/17,344
1/7/16,5
1/21/16,14
1/12/15,6
1/12/16,69
1/20/16,17
5/12/15,10
5/12/16,193
5/12/17,255
6/29/15,16
1/5/18,105
6/29/17,247
6/29/16,150
1/5/16,3
2/16/18,57
5/13/17,239
5/13/16,80
5/13/15,9
3/16/16,115
2/6/18,68
7/23/16,2
7/23/17,82
7/23/15,12
6/30/17,259
6/30/16,20
6/30/15,89
3/25/17,87
2/17/16,11
1/16/17,24
1/16/18,150
9/22/17,204
9/22/16,83
9/22/15,127
1/23/17,106
5/18/16,36
5/18/17,236
5/18/15,95
5/9/17,61
5/9/16,51
6/21/17,93
1/20/17,61
6/8/15,12
3/26/17,87
3/26/16,50
10/30/15,68
1/22/16,28
10/30/17,121
10/30/16,2
2/16/17,55
1/22/18,219
2/16/16,37
2/18/15,43
1/19/17,109
1/19/16,10
6/26/15,3
6/26/16,18
6/26/17,360
3/24/17,50
3/24/16,67
1/29/18,116
1/19/18,162
12/11/16,84
3/19/16,45
3/19/15,26
6/15/17,1
4/12/17,100
12/13/16,24
12/13/17,107
4/19/17,400
11/21/16,24
10/2/17,364
11/21/14,37
11/21/15,99
5/14/16,11
5/14/17,256
2/2/17,23
3/1/18,105
3/22/15,14
6/28/17,242
3/22/17,222
3/22/16,85
1/14/16,106
5/10/16,86
12/1/16,58
12/1/17,88
3/29/16,67
6/4/16,32
2/15/18,47
8/2/17,498
11/23/15,114
11/23/16,63
12/21/17,173
10/3/17,265
12/10/17,239
8/2/16,226
11/7/17,102
9/7/17,432
11/7/15,1
3/27/16,18
3/18/15,34
3/18/16,48
3/27/15,17
12/20/17,188
1/18/18,222
4/22/17,100
3/23/16,81
3/23/17,54
3/23/15,10
1/18/16,21
1/18/17,4
1/18/15,8
4/18/17,427
12/12/16,40
9/19/15,55
9/19/17,261
12/22/17,2
8/15/17,460
9/28/15,134
9/28/17,248
9/23/15,8
9/23/16,50
9/23/17,128
4/17/17,115
8/25/17,342
8/25/16,3
8/25/15,103
10/13/16,2
10/13/17,92
10/13/15,58
11/30/16,2
11/30/17,241
9/18/16,8
9/18/17,316
9/18/15,68
9/2/15,221
9/2/16,3
2/25/16,117
2/25/17,36
12/11/17,291
7/15/17,33
5/8/16,33
5/8/17,25
5/21/17,80
12/23/17,1
12/3/16,3
6/10/17,169
9/29/17,130
9/29/15,16
5/31/17,330
4/15/16,25
7/5/17,291
10/9/16,42
8/3/15,31
5/6/16,38
10/9/15,59
10/16/15,121
7/20/16,28
7/20/15,40
5/15/17,366
5/15/16,6
5/4/16,19
5/4/17,341
8/1/15,30
11/29/16,2
11/29/17,156
12/9/17,210
2/24/16,58
10/24/15,90
9/3/15,70
10/24/17,166
6/6/17,125
8/24/15,56
8/24/16,3
12/14/16,71
1/12/17,76
7/18/17,423
10/17/17,84
10/17/15,83
11/22/17,176
11/22/16,60
11/22/15,151
7/25/17,145
5/10/17,117
10/15/15,56
10/15/16,1
